descricao;classe
Boa tarde, não estou conseguindo acessar minha conta.;3
Cancele essa recarga;4
Os créditos não cairam em minha linha.;2
Quero meu dinheiro de volta;1
Oii Minha recarga nn caiu;2
Quero o estorno do valor que foi paga, caso contrário irei ao PROCON, pois não vou paga por erro de sistema não.;1
Efetuei uma recarga pelo app de vcs e até o momento não entrou nenhuma recarga, porém o valor de R$10,00 esta constando na minha fatura.Peço o estorno do valor;1
Quero cancelar os créditos;4
Boa tarde quanto tempo demora cair a recarga ? Já faz 1 hora e ainda não caiu.;3
Não recebi a recarga no valor de 20 reais;2
Porque nao estou conseguindo carregar;3
Quero estorno da cobrança;1
Por quê nao estou conseguindo carregar?;3
Boa tarde. Tem duas cobranças na fatura de recargas esse mês que não foram efetuadas. No próprio aplicativo consta que não foi realizada. Mas a cobrança está na fatura.;2
Boa noite Tentei realizar duas recargas esse mês . Mas o aplicativo informou que não foi possível. E não caiu crédito nenhum no celular. Porém os valores estão constando na fatura do cartão.;2
fui colocar o credito, foi cobrado no cartão e não caiu o credito, pela segunda vez. E não consegui entrar em contato pra fazer o estorno.;2
péssimo, coloquei 15 reais de crédito, não aprovou pelo aplicativo a recarga, mas mesmo assim descontou o valor do meu cartão de crédito!!!;2
tentei fazer uma recarga ,foi descontado na minha conta mas não recebi o credito;2
Bom dia! Tem algum errado, ontem fiz uma recarga em um cartão e hoje veio a cobrança de uma recarga em outro cartão sendo que eu NÃO FIZ recarga hoje. O que ta acontecendo????;3
fiz uma recarga no dia 13/04/2019 e até agora a recarga não entrou no meu celular e a cobrança já foi passada para o cartão de crédito,gostaria de saber como faço pra resolver esse problemão...;2
Fiz 5 recargas..e deu realização  não  aprovado..mais de Pois olhei o histórico  e a quarta tinha sido realizada ...e não  recebi e-mail de confirmação..E agora  ..? Se as 5 recargas tiver dado certo??;3
Por favor gostaria que vcs fizessem um reembolso para mim pois os creditos caiu em outra linha pois minha já tinha sido cancelada e eu não sabia o valor foi 10 ; 1
Fiz uma regarga ontem dia 20/02/2019 as 20h:20min e a regarga não entrou, no entanto o valor foi faturado no meu cartão de crédito, gostaria de saber como faço para estornar esta compra ou o valor dos créditos entrar no meu celular. Já mandei um email para os responsáveis deste aplicativo e os mesmo…;2
Não consigo efetuar recarga. ;3
Não estou conseguindo acessar os valores;3
Olá boa noite gostaria de comunicar que eu fiz uma recarga no meu cartão de débito eu queria saber se tem algum poblema de eu ter usado o cartão de débito pois vi que outras pessoas só usaram cartão de crédito.;3
Coloquei o cerdito por aqui ontem e nao entrou no celular. A operadora claro disse que nao creditou, ja falei com a operadora do cartão e foi debitado. Quero saber porque nao entrou. Estou com muita raiva ;2
Não consigo realizar recarga, toda vez que coloco meu número não conclui com o envio do código de validação aí apresenta indisponível e pede pra tentar mais tarde,porém já fiz isso várias vezes.;3
Não entendi pq não liberou a recarga. Fui fazer a recarga pela 4 vez no msm cartão e não foi liberada pq diz q excedeu o limite de recarga pra esse cartão. Achei q fosse ilimitado🤔 Pode me explicar o pq? Não conheço o aplicativo.;3
Boa noite , ainda não voltou a Internet, e meu esposo precisa ir trabalhar grata ;3
Quero recarregar e fala que limite é  7 reais mensais ;3
Ainda ñ caiu minha recarga;2
Fiz uma recarga hj as 6:24 para o telefone 19 994170006 e até agora crédito da recarga nao foi efetuado mas ja foi realizado o débito. Solicito verificação.;2
Fiz uma recarga hj as 6:24 para o celular 19 994170006 e o crédito não foi efetivado o débito foi efetivado;2
Oi quero cancelar a recarga,como faço?;4
Não estou conseguind fazer recargas com meu cartão novo;3
Bom dia! Estou tentando finalizar o cadastro do meu número de celular para efetuar recargas pelo aplicativo é esta dando a mensagem de TENTE NOVAMENTE, isso desde de hoje de manhã, o aplicativo esta fora de acesso? Aguardo uma resposta! Obrigada!;3
Foram feitas duas recargas,  uma de 30 e outra de 15, mas nenhuma foi acrescentada no meu saldo,  que continua zerado.;2
Tentei realizar uma recarga nesta data pelo app houve falha no processamento, no entanto, houve débito no meu cartão de crédito conforme anexo.;2
Minha recarga não chego ainda ?;2
Bom dia , não consigo mais realizar recarga, gostaria de saber porque.;3
Boa tarde. Essa manhã fui fazer uma recarga para o celular do meu marido e apareceu na tela um erro, tentei fazer uma segunda recarga e apareceu a mesma tela de erro. Mas foram debitados e creditados 2 valores de R$ 15,00 sendo q só queria 1 recarga nesse valor. Como posso reaver 1 dos valores? Por favor entrem em contato. Obrigada;1
Troquei de cartão e não consigo mais fazer recargas;3
Gostaria que por gentileza o valor da recarga não efetuada, fosse estornado para minha conta.;1
Bom dia, eu fiz uma recarga  no aplicativo  deu nao efetuada e descontou no meu cartão! Quero ajuda;2
Eu fiz uma recarga que foi cobrada no meu cartão, mas no App de vocês aparece que foi anulada, os créditos não caíram no meu número. Como proceder?;2
Boa tarde eu fiz a recarga só que não entrou e foi descontando 12 reais;2
Boa tarde, acabei de fazer uma recarga pelo meu cartão de crédito ja apareceu na minha fatura, mais no histórico ta dizendo que não foi realizada, pq?;3
Boa tarde. Essa manhã fui fazer uma recarga para o celular do meu marido e apareceu na tela um erro, tentei fazer uma segunda recarga e apareceu a mesma tela de erro. Mas foram debitados e creditados 2 valores de R$ 15,00 sendo q só queria 1 recarga nesse valor. Como posso reaver 1 dos valores;1
Foram feitas duas recargas,  uma de 30 e outra de 15, mas nenhuma foi acrescentada no meu saldo,  que continua zerado.;2
Nada foi liberado até agora p meu celular.;2
Olá Boa noite  fiz uma recarga pelo o aplicativo caiu a comprovação mais aínda não caiu os créditos;2
Tentei realizar uma recarga nesta data pelo app houve falha no processamento, no entanto, houve débito no meu cartão de crédito conforme anexo.;2
Boa noite! Hoje  efetuei uma recarga de 20,00. O valor foi debitado em meu cartão, não recebi o comprovante da recarga no e-mail e nem os creditos foram liberados. Quero o estorno do valor imediatamente ou a liberação do credito. Ou serei obrigado a tomar as devidas precauções. Pois, não tem lógica, pagar e não receber.Att.;1
Nao estou conceguindo fazer recarga com nenhum cartao ;3
Nao esta fazendo recarga com nenhum cartao no começo foi bom agora deixa a desejar;3
Não estou conseguindo fazer recarga nos meus celulares. Tenho 3 números e só consigo fazer em dois, como faço para recarregar todos.;3
tentei fazer uma recarga mas apareceu na tela mensagem de limite diário;3
Bom dia.Efetuei uma recarga no dia 29/10/019 às 00:10 para o numero 83 98881-2451 e apareceu compra não realizada. Mais momentod depois apareceram varias cobranças do mesmo valor de  R$ 15,00 no cartão de credito e não recebi os créditos.E também não recebi o recibo de compra efetuada .Desde já sugiro uma averiguação sobre este ocorrido e aguardo por resposta ansiosamente;2
eu queria saber se ?;3
gostaria se saber como faço para ?;3
gostaria se saber como faço para obter o reembolso ?;1
gostaria se saber como faço para conseguir meu dinheiro de volta ?;1
gostaria se saber como faço para conseguir ser ressarcido do valor da recarga ?;1
tentei fazer uma recarga mas apareceu na tela mensagem de limite mensal;3
fiz uma recarga  so que não entrou e foi descontado 20 reais;2
gostaria que o valor da recarga fosse estornado para minha conta;1
fiz recargas o credito não foi efetivado já o débido foi;2
quero o estorno do valor pago;1
nenhuma recarga foi acresentada em minha linha que continua sem crétitos;2
fiz uma recarga não entrou e mesmo assim foi descontado;2
Quero o estorno do valor imediatamente ou a liberação do credito na linha;1
quero que efetue o estorno do valor cobrado que não foi repassado para linha;1
 como posso reaver os valores;1
Gostaria de cadastrar um novo cartão;3
Como faço para cadastrar um cartão diferente ?;3
Troquei de cartão de crédito recentemente e não estou conseguindo cadastrar o novo cartão;3
não estou conseguindo usar o cartão Hypercard;3
gostaria de apagar um telefone do aplicativo;3
como faço para colocar uma nova linha ?;3
quantas recargas eu posso fazer por mês ?;3
quantas recargas eu tenho de limite;3
Na primeira tentativa,deu erro tentei novamente por 2 vezes e novamente o mesmo erro,e la estavam as 3 recargas que supostamente não haviam sido concluídas .Gostaria de fazer o cancelamento das outras recargas;4
Eu preciso fazer mais uma recarga mas não estou conseguindo, porque isso;3
Eu preciso fazer mais recargas mas fica mostrando mensagem;3
quero o estorno da recarga;1
quero ser ressarcido;1
tenho direito de ser ressarcido pois o erro não foi meu;1
tenho direito de receber estorno do valor pois o erro não foi meu;1
tenho direito de receber devolução do valor pois o erro não foi meu;1
fiz uma recarga não entrou e mesmo assim foi descontado;2
Não estou conseguind fazer recargas com meu cartão novo;3
Bom dia! Estou tentando finalizar o cadastro do meu número de celular para efetuar recargas pelo aplicativo é esta dando a mensagem de TENTE NOVAMENTE, isso desde de hoje de manhã, o aplicativo esta fora de acesso? Aguardo uma resposta! Obrigada!;3
Foram feitas duas recargas,  uma de 30 e outra de 15, mas nenhuma foi acrescentada no meu saldo,  que continua zerado.;2
Tentei realizar uma recarga nesta data pelo app houve falha no processamento, no entanto, houve débito no meu cartão de crédito conforme anexo.;2
Minha recarga não chego ainda ?;2
Bom dia , não consigo mais realizar recarga, gostaria de saber porque.;3
Os créditos não cairam em minha linha.;2
Quero meu dinheiro de volta;1
Oii Minha recarga nn caiu;2
Quero o estorno do valor que foi paga, caso contrário irei ao PROCON, pois não vou paga por erro de sistema não.;1
Coloquei 100 reais de crédito em um número porque o aplicativo disse que a regarga não tinha sido efetuada quero cancelar 4 recarga dessas;1
número errado. cancela;4
quero cancelar essa recarga.numero errado;4
efetuar devolução de valor;1
quero o estorno do valor;1
quero meu dinheiro de volta;1
estornar a compra;1
gostaria de pedir o estorno;1
cancelar devido a erro de digitação;4
não recebi a recarga;2
há alguma forma de estornar o valor devido a erro de digitação?;3
errei o número, pode estornar o valor;4
